,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
Somatostatin receptor 5,37.0,49.0,397.0,445.0,487.0,978.0,413.0,891.0,413.0,586.0,24.0
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",700.0,985.0,816.0,989.0,619.0,7.0,613.0,183.0,337.0,228.0,952.0
Transmembrane protease serine 6,448.0,893.0,279.0,832.0,862.0,518.0,862.0,363.0,513.0,156.0,972.0
Bromodomain-containing protein 3,134.0,787.0,647.0,599.0,815.0,347.0,738.0,25.0,731.0,159.0,605.0
Cysteinyl leukotriene receptor 1,76.0,413.0,843.0,323.0,34.0,750.0,385.0,979.0,121.0,807.0,128.0
Corticotropin releasing factor receptor 1,736.0,165.0,372.0,411.0,290.0,647.0,605.0,857.0,273.0,862.0,389.0
Plasminogen,533.0,455.0,329.0,894.0,524.0,1.0,107.0,0.0,967.0,820.0,819.0
Leukocyte adhesion glycoprotein LFA-1 alpha,985.0,36.0,766.0,275.0,470.0,546.0,331.0,832.0,275.0,385.0,159.0
Somatostatin receptor 2,861.0,324.0,947.0,538.0,425.0,622.0,708.0,763.0,80.0,526.0,41.0
DNA topoisomerase II alpha,11.0,846.0,647.0,485.0,790.0,860.0,538.0,660.0,824.0,216.0,621.0
Angiotensin-converting enzyme,870.0,914.0,4.0,364.0,972.0,403.0,516.0,290.0,705.0,263.0,1000.0
Prostanoid EP1 receptor,865.0,940.0,366.0,866.0,233.0,1.0,302.0,245.0,430.0,776.0,973.0
Muscarinic acetylcholine receptor M4,510.0,260.0,495.0,656.0,592.0,815.0,142.0,94.0,646.0,793.0,126.0
Inosine-5'-monophosphate dehydrogenase 1,6.0,70.0,450.0,71.0,802.0,989.0,902.0,824.0,922.0,101.0,123.0
Receptor protein-tyrosine kinase erbB-2,293.0,950.0,671.0,863.0,699.0,785.0,634.0,168.0,492.0,809.0,897.0
TNF-alpha,43.0,877.0,561.0,952.0,74.0,199.0,466.0,578.0,397.0,730.0,70.0
Phosphodiesterase 5A,727.0,868.0,970.0,583.0,78.0,596.0,266.0,483.0,220.0,193.0,764.0
Histone deacetylase 3,676.0,767.0,546.0,681.0,940.0,14.0,893.0,24.0,562.0,308.0,708.0
Serotonin 2b (5-HT2b) receptor,412.0,124.0,771.0,162.0,341.0,859.0,808.0,896.0,376.0,391.0,119.0
Thromboxane-A synthase,977.0,669.0,26.0,420.0,571.0,85.0,236.0,860.0,292.0,967.0,951.0
Prostanoid EP4 receptor,446.0,104.0,338.0,25.0,298.0,964.0,546.0,902.0,633.0,92.0,14.0
Tyrosine-protein kinase FYN,213.0,550.0,628.0,259.0,608.0,993.0,634.0,735.0,144.0,476.0,263.0
Macrophage colony stimulating factor  receptor,814.0,221.0,92.0,132.0,934.0,351.0,697.0,190.0,661.0,242.0,850.0
Dopamine D5 receptor,255.0,248.0,538.0,661.0,458.0,822.0,240.0,195.0,977.0,898.0,221.0
Somatostatin receptor 4,183.0,890.0,822.0,236.0,706.0,846.0,81.0,158.0,483.0,459.0,982.0
Gonadotropin-releasing hormone receptor,936.0,372.0,113.0,39.0,650.0,375.0,548.0,931.0,454.0,134.0,639.0
Steroid 5-alpha-reductase 2,467.0,296.0,527.0,927.0,160.0,443.0,247.0,728.0,716.0,825.0,21.0
Voltage-gated T-type calcium channel alpha-1H subunit,585.0,914.0,733.0,550.0,487.0,18.0,462.0,111.0,211.0,279.0,476.0
Thyroid hormone receptor alpha,304.0,647.0,662.0,556.0,277.0,830.0,631.0,998.0,56.0,175.0,917.0
4-hydroxyphenylpyruvate dioxygenase,349.0,282.0,756.0,833.0,255.0,697.0,672.0,481.0,177.0,669.0,222.0
Tyrosine-protein kinase ABL,160.0,681.0,728.0,660.0,896.0,361.0,825.0,58.0,615.0,124.0,531.0
Histone deacetylase 6,919.0,50.0,337.0,18.0,750.0,854.0,21.0,573.0,980.0,862.0,255.0
Alpha-2a adrenergic receptor,980.0,390.0,425.0,952.0,720.0,72.0,767.0,256.0,222.0,277.0,751.0
Vascular endothelial growth factor receptor 1,804.0,540.0,247.0,560.0,123.0,23.0,601.0,538.0,409.0,176.0,578.0
Androgen Receptor,252.0,655.0,380.0,892.0,293.0,648.0,791.0,955.0,31.0,892.0,581.0
Tissue-type plasminogen activator,257.0,220.0,487.0,35.0,673.0,973.0,878.0,142.0,852.0,353.0,321.0
Serotonin 4 (5-HT4) receptor,481.0,552.0,46.0,52.0,235.0,913.0,63.0,905.0,688.0,857.0,311.0
Calcium sensing receptor,188.0,747.0,819.0,992.0,449.0,1.0,664.0,13.0,992.0,675.0,783.0
Prostanoid EP2 receptor,806.0,564.0,921.0,338.0,458.0,454.0,848.0,779.0,20.0,78.0,696.0
Neuronal acetylcholine receptor protein alpha-4 subunit,19.0,522.0,414.0,87.0,332.0,978.0,426.0,888.0,605.0,815.0,353.0
"Potassium channel, inwardly rectifying, subfamily J, member 11",968.0,117.0,339.0,805.0,873.0,17.0,620.0,38.0,813.0,355.0,465.0
Vasopressin V1a receptor,287.0,865.0,127.0,620.0,128.0,829.0,580.0,859.0,435.0,750.0,379.0
Glutamate carboxypeptidase II,44.0,153.0,665.0,612.0,928.0,710.0,274.0,667.0,455.0,533.0,246.0
Serotonin 1b (5-HT1b) receptor,977.0,642.0,400.0,39.0,513.0,956.0,147.0,921.0,16.0,458.0,908.0
Serotonin 3a (5-HT3a) receptor,756.0,70.0,764.0,519.0,298.0,249.0,637.0,368.0,583.0,433.0,73.0
Aldose reductase,209.0,937.0,134.0,558.0,824.0,75.0,329.0,108.0,704.0,661.0,974.0
Cholecystokinin A receptor,11.0,844.0,589.0,799.0,175.0,770.0,700.0,127.0,784.0,566.0,450.0
FK506-binding protein 1A,324.0,542.0,825.0,891.0,968.0,235.0,870.0,30.0,456.0,57.0,667.0
GABA transporter 1,346.0,981.0,690.0,999.0,556.0,95.0,504.0,120.0,350.0,756.0,940.0
Glutamate [NMDA] receptor subunit epsilon 2,316.0,151.0,343.0,49.0,50.0,977.0,834.0,830.0,901.0,45.0,1.0
Serine/threonine-protein kinase RAF,997.0,551.0,423.0,882.0,20.0,2.0,48.0,96.0,792.0,916.0,235.0
Aminopeptidase N,300.0,16.0,534.0,12.0,689.0,1000.0,235.0,941.0,886.0,149.0,75.0
Cytochrome P450 11B1,811.0,701.0,196.0,159.0,702.0,314.0,148.0,829.0,89.0,868.0,913.0
Mitogen-activated protein kinase kinase kinase 12,941.0,242.0,713.0,336.0,193.0,469.0,350.0,804.0,146.0,632.0,165.0
Platelet-derived growth factor receptor beta,581.0,558.0,37.0,610.0,781.0,518.0,801.0,725.0,362.0,574.0,655.0
Butyrylcholinesterase,680.0,508.0,656.0,805.0,25.0,0.0,798.0,59.0,961.0,642.0,211.0
Alpha-2c adrenergic receptor,617.0,1.0,705.0,30.0,503.0,966.0,232.0,999.0,226.0,377.0,84.0
Somatostatin receptor 1,519.0,790.0,943.0,843.0,297.0,106.0,788.0,322.0,201.0,328.0,759.0
Voltage-gated calcium channel alpha2/delta subunit 1,291.0,688.0,865.0,946.0,662.0,41.0,977.0,191.0,124.0,341.0,823.0
Vasopressin V1b receptor,33.0,448.0,932.0,711.0,143.0,881.0,387.0,625.0,872.0,580.0,222.0
Protoporphyrinogen oxidase,324.0,366.0,287.0,716.0,917.0,353.0,809.0,34.0,896.0,274.0,393.0
Xanthine dehydrogenase,997.0,946.0,43.0,893.0,956.0,88.0,64.0,30.0,245.0,773.0,972.0
Aldehyde dehydrogenase,23.0,703.0,531.0,267.0,912.0,920.0,449.0,147.0,874.0,629.0,785.0
Stem cell growth factor receptor,223.0,315.0,299.0,331.0,434.0,906.0,362.0,989.0,144.0,240.0,587.0
Histone deacetylase 2,77.0,789.0,288.0,805.0,528.0,196.0,620.0,281.0,906.0,246.0,923.0
Lysine-specific demethylase 2A,996.0,123.0,258.0,1.0,500.0,966.0,321.0,999.0,0.0,351.0,67.0
Histamine H2 receptor,605.0,848.0,270.0,621.0,138.0,82.0,554.0,784.0,800.0,693.0,536.0
Alpha-2b adrenergic receptor,979.0,708.0,500.0,203.0,47.0,42.0,808.0,670.0,548.0,510.0,417.0
Neprilysin,636.0,59.0,969.0,371.0,9.0,12.0,371.0,331.0,838.0,438.0,13.0
Melatonin receptor 1A,39.0,234.0,953.0,816.0,641.0,989.0,225.0,790.0,62.0,655.0,192.0
Melatonin receptor 1B,301.0,440.0,60.0,286.0,527.0,485.0,735.0,855.0,898.0,268.0,758.0
Thyroid hormone receptor beta-1,3.0,801.0,800.0,942.0,969.0,181.0,679.0,10.0,776.0,414.0,941.0
Cyclophilin A,891.0,948.0,105.0,883.0,808.0,22.0,424.0,22.0,790.0,926.0,993.0
Monoamine oxidase A,78.0,506.0,559.0,684.0,967.0,780.0,582.0,9.0,905.0,817.0,490.0
Thymidylate synthase,753.0,456.0,973.0,903.0,122.0,269.0,842.0,705.0,99.0,307.0,64.0
Vascular endothelial growth factor receptor 3,16.0,681.0,378.0,298.0,481.0,986.0,187.0,420.0,723.0,661.0,410.0
Insulin-like growth factor I receptor,824.0,818.0,252.0,585.0,497.0,423.0,257.0,963.0,11.0,664.0,764.0
Dihydroorotate dehydrogenase,790.0,225.0,24.0,542.0,735.0,336.0,917.0,352.0,959.0,584.0,126.0
Epoxide hydrolase 1,889.0,392.0,770.0,208.0,250.0,438.0,866.0,89.0,670.0,279.0,533.0
Sulfonylurea receptor 2,916.0,79.0,232.0,801.0,96.0,186.0,126.0,424.0,627.0,899.0,334.0
Tyrosine-protein kinase receptor FLT3,938.0,712.0,338.0,82.0,22.0,472.0,93.0,909.0,548.0,20.0,261.0
Vitamin D receptor,54.0,789.0,555.0,405.0,674.0,709.0,644.0,47.0,648.0,316.0,711.0
Cytochrome P450 19A1,282.0,584.0,479.0,16.0,901.0,1000.0,340.0,998.0,99.0,615.0,111.0
Sodium channel protein type V alpha subunit,364.0,752.0,763.0,870.0,381.0,16.0,578.0,26.0,765.0,474.0,905.0
Insulin receptor,470.0,248.0,660.0,867.0,986.0,177.0,767.0,823.0,118.0,302.0,967.0
Serotonin 1d (5-HT1d) receptor,659.0,816.0,391.0,959.0,927.0,230.0,59.0,95.0,726.0,927.0,898.0
Glucagon receptor,288.0,369.0,526.0,952.0,955.0,90.0,991.0,0.0,477.0,301.0,471.0
Inhibitor of nuclear factor kappa B kinase beta subunit,713.0,142.0,115.0,46.0,67.0,1000.0,44.0,1000.0,49.0,691.0,36.0
DNA (cytosine-5)-methyltransferase 1,548.0,96.0,509.0,486.0,307.0,264.0,242.0,643.0,556.0,544.0,290.0
Mineralocorticoid receptor,270.0,602.0,389.0,14.0,453.0,965.0,436.0,776.0,652.0,660.0,908.0
Prostanoid IP receptor,490.0,10.0,938.0,5.0,131.0,978.0,788.0,949.0,102.0,105.0,1.0
Equilibrative nucleoside transporter 1,226.0,972.0,413.0,981.0,451.0,136.0,153.0,155.0,807.0,682.0,919.0
Plasma kallikrein,496.0,373.0,339.0,103.0,311.0,766.0,176.0,646.0,954.0,434.0,108.0
Purinergic receptor P2Y12,392.0,429.0,580.0,329.0,814.0,652.0,806.0,73.0,659.0,337.0,327.0
Inosine-5'-monophosphate dehydrogenase 2,999.0,764.0,757.0,760.0,34.0,80.0,283.0,996.0,37.0,742.0,408.0
Retinoic acid receptor gamma,152.0,266.0,188.0,405.0,888.0,872.0,372.0,501.0,224.0,400.0,897.0
Platelet-derived growth factor receptor alpha,28.0,994.0,856.0,997.0,865.0,3.0,808.0,7.0,578.0,500.0,991.0
Isocitrate dehydrogenase [NADP] cytoplasmic,2.0,549.0,565.0,975.0,631.0,329.0,737.0,10.0,902.0,328.0,69.0
Retinoic acid receptor beta,953.0,16.0,347.0,47.0,851.0,679.0,904.0,155.0,637.0,266.0,71.0
C-X-C chemokine receptor type 7,701.0,263.0,943.0,141.0,127.0,777.0,701.0,923.0,77.0,334.0,514.0
Nociceptin receptor,487.0,941.0,454.0,740.0,485.0,748.0,279.0,994.0,24.0,864.0,775.0
Coagulation factor IX,890.0,21.0,299.0,200.0,131.0,570.0,378.0,951.0,612.0,674.0,95.0
Dihydrofolate reductase,811.0,810.0,276.0,457.0,665.0,59.0,43.0,474.0,640.0,685.0,802.0
Niemann-Pick C1-like protein 1,865.0,643.0,468.0,683.0,337.0,39.0,623.0,115.0,925.0,159.0,461.0
Somatostatin receptor 3,198.0,127.0,847.0,46.0,502.0,988.0,320.0,415.0,398.0,186.0,83.0
Epidermal growth factor receptor erbB1,87.0,258.0,79.0,264.0,326.0,955.0,147.0,958.0,716.0,933.0,237.0
Glucocorticoid receptor,889.0,801.0,595.0,630.0,420.0,20.0,582.0,440.0,191.0,621.0,892.0
Muscarinic acetylcholine receptor M5,185.0,599.0,801.0,941.0,714.0,187.0,907.0,93.0,845.0,351.0,468.0
Monoamine oxidase B,892.0,623.0,255.0,26.0,378.0,961.0,417.0,987.0,10.0,341.0,969.0
Thrombin,835.0,317.0,343.0,497.0,595.0,86.0,902.0,236.0,698.0,60.0,374.0
Tyrosine-protein kinase receptor RET,531.0,726.0,942.0,793.0,614.0,548.0,901.0,435.0,246.0,439.0,503.0
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",54.0,954.0,254.0,770.0,940.0,577.0,27.0,144.0,808.0,967.0,797.0
Bile acid receptor FXR,580.0,938.0,388.0,968.0,766.0,45.0,860.0,8.0,968.0,372.0,977.0
Oxytocin receptor,538.0,281.0,137.0,799.0,424.0,81.0,100.0,53.0,647.0,831.0,609.0
Carbonic anhydrase II,550.0,203.0,537.0,875.0,441.0,500.0,984.0,431.0,372.0,169.0,137.0
Peptidyl-prolyl cis-trans isomerase FKBP5,712.0,139.0,911.0,374.0,235.0,559.0,770.0,277.0,191.0,376.0,103.0
Retinoic acid receptor alpha,37.0,62.0,891.0,424.0,57.0,903.0,639.0,503.0,923.0,255.0,4.0
Dopamine D1 receptor,875.0,471.0,491.0,5.0,33.0,986.0,731.0,998.0,52.0,330.0,355.0
Estrogen receptor alpha,23.0,871.0,302.0,224.0,936.0,840.0,90.0,194.0,938.0,745.0,935.0
Retinoid X receptor alpha,975.0,762.0,13.0,592.0,280.0,50.0,158.0,581.0,131.0,437.0,931.0
Ceramide glucosyltransferase,539.0,862.0,497.0,877.0,806.0,47.0,646.0,385.0,244.0,389.0,936.0
Ephrin type-A receptor 2,889.0,19.0,580.0,6.0,215.0,985.0,120.0,977.0,406.0,337.0,13.0
Thromboxane A2 receptor,13.0,350.0,392.0,212.0,968.0,984.0,348.0,25.0,835.0,420.0,725.0
Sodium channel protein type IV alpha subunit,987.0,234.0,439.0,344.0,18.0,459.0,473.0,1000.0,37.0,702.0,5.0
Tyrosine-protein kinase YES,52.0,734.0,444.0,796.0,765.0,444.0,73.0,228.0,879.0,958.0,975.0
Progesterone receptor,685.0,770.0,953.0,948.0,714.0,19.0,834.0,10.0,670.0,114.0,766.0
Fatty acid binding protein adipocyte,994.0,445.0,75.0,811.0,459.0,60.0,856.0,939.0,26.0,484.0,380.0
Macrophage migration inhibitory factor,684.0,424.0,457.0,472.0,383.0,635.0,225.0,250.0,829.0,405.0,319.0
Trypsin I,667.0,949.0,732.0,977.0,648.0,37.0,810.0,31.0,214.0,759.0,944.0
Beta-2 adrenergic receptor,43.0,346.0,857.0,228.0,155.0,945.0,278.0,630.0,688.0,647.0,34.0
C-X-C chemokine receptor type 4,192.0,363.0,586.0,766.0,761.0,433.0,571.0,210.0,867.0,967.0,668.0
Cyclin T1,263.0,458.0,181.0,83.0,565.0,937.0,479.0,715.0,707.0,282.0,290.0
Muscarinic acetylcholine receptor M2,422.0,862.0,198.0,828.0,518.0,110.0,859.0,534.0,473.0,281.0,783.0
Beta-1 adrenergic receptor,786.0,941.0,653.0,328.0,279.0,652.0,512.0,659.0,338.0,439.0,808.0
Serotonin 1a (5-HT1a) receptor,433.0,104.0,68.0,196.0,171.0,416.0,463.0,418.0,821.0,24.0,27.0
Kynurenine 3-monooxygenase,57.0,801.0,997.0,866.0,862.0,466.0,925.0,76.0,511.0,47.0,723.0
"Glutaminase kidney isoform, mitochondrial",10.0,18.0,575.0,798.0,842.0,815.0,195.0,3.0,996.0,752.0,236.0
Serine/threonine-protein kinase PIM1,574.0,181.0,543.0,2.0,518.0,919.0,781.0,988.0,92.0,449.0,422.0
Tyrosine-protein kinase JAK3,982.0,108.0,298.0,723.0,112.0,62.0,495.0,799.0,278.0,942.0,86.0
Arachidonate 5-lipoxygenase,826.0,963.0,859.0,834.0,758.0,374.0,294.0,874.0,10.0,897.0,987.0
ATPase family AAA domain-containing protein 2,400.0,586.0,82.0,877.0,619.0,47.0,431.0,224.0,907.0,794.0,767.0
Muscarinic acetylcholine receptor M1,936.0,772.0,719.0,91.0,804.0,889.0,346.0,382.0,149.0,134.0,945.0
Tyrosyl-DNA phosphodiesterase 2,687.0,258.0,104.0,450.0,656.0,427.0,944.0,738.0,213.0,152.0,309.0
Dopamine D2 receptor,923.0,568.0,108.0,746.0,134.0,18.0,29.0,244.0,846.0,745.0,364.0
Beta-glucocerebrosidase,154.0,278.0,803.0,188.0,83.0,789.0,283.0,662.0,785.0,571.0,296.0
Cannabinoid CB1 receptor,911.0,250.0,423.0,782.0,140.0,32.0,252.0,622.0,670.0,627.0,131.0
Serine/threonine-protein kinase Aurora-B,835.0,166.0,243.0,60.0,56.0,982.0,758.0,987.0,641.0,260.0,13.0
Histone-lysine N-methyltransferase EZH2,4.0,886.0,587.0,985.0,890.0,324.0,723.0,74.0,558.0,843.0,857.0
Dopamine D4 receptor,433.0,329.0,620.0,848.0,740.0,476.0,438.0,32.0,685.0,422.0,601.0
Acetylcholinesterase,615.0,929.0,105.0,814.0,895.0,18.0,800.0,147.0,392.0,759.0,936.0
Motilin receptor,31.0,69.0,967.0,974.0,616.0,780.0,330.0,30.0,794.0,473.0,72.0
MAP kinase-activated protein kinase 2,962.0,826.0,982.0,784.0,66.0,23.0,701.0,927.0,10.0,628.0,708.0
Cyclooxygenase-1,267.0,660.0,6.0,500.0,896.0,202.0,520.0,140.0,805.0,774.0,951.0
Norepinephrine transporter,986.0,986.0,240.0,835.0,877.0,129.0,202.0,114.0,571.0,678.0,993.0
Alpha-1d adrenergic receptor,801.0,86.0,213.0,1.0,721.0,996.0,765.0,998.0,34.0,107.0,137.0
Serotonin 2a (5-HT2a) receptor,192.0,323.0,426.0,2.0,493.0,1000.0,189.0,972.0,396.0,439.0,68.0
Anandamide amidohydrolase,54.0,438.0,728.0,491.0,693.0,661.0,270.0,415.0,714.0,844.0,715.0
Aldehyde reductase,52.0,177.0,753.0,822.0,326.0,601.0,732.0,905.0,554.0,261.0,379.0
Serotonin 2c (5-HT2c) receptor,507.0,698.0,919.0,558.0,202.0,424.0,835.0,271.0,414.0,492.0,378.0
Tyrosine-protein kinase BLK,14.0,803.0,466.0,887.0,728.0,625.0,415.0,8.0,976.0,194.0,879.0
Dipeptidyl peptidase I,510.0,763.0,92.0,931.0,636.0,151.0,380.0,144.0,583.0,684.0,767.0
Adenosine A1 receptor,922.0,769.0,721.0,87.0,294.0,474.0,567.0,508.0,616.0,568.0,268.0
Acyl coenzyme A:cholesterol acyltransferase,877.0,1.0,804.0,117.0,236.0,551.0,875.0,221.0,324.0,72.0,9.0
Type-1 angiotensin II receptor,537.0,908.0,936.0,947.0,122.0,49.0,536.0,832.0,131.0,583.0,655.0
Sphingosine 1-phosphate receptor Edg-8,736.0,169.0,439.0,472.0,85.0,606.0,530.0,570.0,827.0,379.0,375.0
c-Jun N-terminal kinase 1,739.0,694.0,32.0,1.0,555.0,971.0,65.0,1000.0,32.0,810.0,510.0
Serotonin transporter,6.0,671.0,301.0,995.0,940.0,127.0,803.0,2.0,997.0,394.0,686.0
ADAMTS5,401.0,480.0,520.0,46.0,958.0,943.0,553.0,679.0,363.0,571.0,393.0
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,999.0,510.0,90.0,130.0,193.0,42.0,99.0,957.0,52.0,735.0,976.0
Alpha-1a adrenergic receptor,801.0,842.0,456.0,954.0,730.0,106.0,498.0,122.0,56.0,120.0,960.0
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,61.0,411.0,825.0,536.0,725.0,393.0,941.0,651.0,641.0,271.0,103.0
Cyclooxygenase-2,24.0,195.0,996.0,296.0,355.0,984.0,632.0,789.0,599.0,319.0,95.0
Voltage-gated potassium channel subunit Kv1.1,959.0,251.0,482.0,587.0,17.0,348.0,462.0,981.0,166.0,471.0,70.0
Histamine H1 receptor,116.0,168.0,91.0,453.0,962.0,300.0,188.0,110.0,945.0,849.0,889.0
ADAMTS4,61.0,952.0,427.0,890.0,231.0,521.0,586.0,204.0,794.0,176.0,611.0
Alpha-1b adrenergic receptor,262.0,91.0,761.0,174.0,136.0,970.0,253.0,931.0,643.0,539.0,73.0
Potassium channel subfamily K member 3,882.0,553.0,491.0,362.0,284.0,206.0,815.0,894.0,288.0,928.0,342.0
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",950.0,905.0,537.0,854.0,128.0,24.0,539.0,56.0,286.0,243.0,645.0
Carbonic anhydrase VII,103.0,509.0,881.0,538.0,889.0,902.0,784.0,383.0,163.0,373.0,699.0
Neurokinin 2 receptor,798.0,623.0,279.0,770.0,303.0,26.0,528.0,263.0,615.0,947.0,773.0
Mu opioid receptor,966.0,129.0,59.0,527.0,235.0,288.0,273.0,431.0,397.0,609.0,289.0
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",587.0,200.0,736.0,298.0,939.0,830.0,76.0,478.0,479.0,391.0,655.0
Caspase-3,974.0,480.0,583.0,27.0,69.0,676.0,172.0,1000.0,15.0,664.0,510.0
Lysosomal Pro-X carboxypeptidase,61.0,766.0,303.0,616.0,896.0,899.0,91.0,79.0,675.0,493.0,247.0
Glycine transporter 1,4.0,84.0,273.0,270.0,866.0,970.0,671.0,473.0,984.0,274.0,246.0
Dopamine D3 receptor,156.0,769.0,423.0,319.0,683.0,847.0,658.0,270.0,640.0,408.0,710.0
Serine/threonine-protein kinase Sgk1,495.0,529.0,795.0,649.0,614.0,710.0,339.0,59.0,722.0,440.0,379.0
Ribosomal protein S6 kinase alpha 3,446.0,853.0,201.0,985.0,605.0,50.0,857.0,765.0,223.0,552.0,969.0
Peroxisome proliferator-activated receptor gamma,914.0,880.0,221.0,172.0,663.0,188.0,688.0,461.0,119.0,779.0,956.0
Delta opioid receptor,720.0,86.0,913.0,54.0,16.0,626.0,894.0,936.0,352.0,169.0,2.0
Hypoxanthine-guanine phosphoribosyltransferase,494.0,611.0,234.0,1000.0,788.0,20.0,531.0,1.0,965.0,393.0,993.0
Kappa opioid receptor,917.0,55.0,433.0,85.0,215.0,543.0,274.0,948.0,479.0,214.0,7.0
C5a anaphylatoxin chemotactic receptor,103.0,591.0,756.0,550.0,195.0,676.0,96.0,142.0,900.0,705.0,744.0
Dual specificity phosphatase Cdc25C,165.0,728.0,411.0,414.0,929.0,632.0,717.0,663.0,259.0,586.0,750.0
Dopamine transporter,624.0,495.0,230.0,3.0,588.0,996.0,351.0,998.0,428.0,355.0,194.0
Peroxisome proliferator-activated receptor alpha,528.0,621.0,536.0,961.0,633.0,8.0,480.0,9.0,575.0,832.0,976.0
HERG,911.0,682.0,105.0,546.0,399.0,58.0,551.0,266.0,274.0,347.0,652.0
Epoxide hydratase,354.0,185.0,900.0,445.0,162.0,478.0,120.0,608.0,701.0,771.0,54.0
Phosphodiesterase 3A,672.0,22.0,331.0,144.0,995.0,975.0,213.0,911.0,548.0,498.0,580.0
C-C chemokine receptor type 1,16.0,853.0,659.0,850.0,405.0,384.0,856.0,615.0,454.0,609.0,714.0
